ID	Target	SENTENCE1	SENTENCE2	ANSWER	start_s1	end_s1	start_s2	end_s2
2564	표지	학교 앞 횡단보도에 경계표지를 세우다.	저 원표는 그 너머로는 수영해 가지 말라는 표지이다.	True	13	15	24	26
2565	통신사	구영근 기자와 고학진 통신사는 이북 사람으로 둘 다 성격이 괄괄했다.	통신사에 전화해봐.	False	12	15	0	3
2566	타자	타자보다는 투수 중에 걸출한 선수들이 많다.	사무실 안은 타자를 치는 소리와 종이 구기는 소리만 났다.	False	0	2	7	9
2567	검정	하얀 와이셔츠를 입고 검정 넥타이를 가슴에 드리우고 있었다.	검정다리를 통과하자 시야는 가까운 차폐물 없이 탁 틔었다.	True	12	14	0	2
2568	대기	이 소년은 아직은 미완의 대기이지만 가능성이 크다.	수양은 첫겨울의 상쾌한 대기 가운데서 여행을 계속했다.	False	14	16	13	15
2569	화장	화장을 깨끗하게 지우는 것은 매우 중요하다.	클렌징 폼으로만 화장을 지우면 다 지워지지 않는다.	True	0	2	9	11
2570	기구	측우기는 비가 내린 양을 재는 기구이다.	바람이 부는 날씨에는 기구가 잘 뜨지 못한다.	False	17	19	12	14
2571	풀	그 풀은 점착력이 좋다.	이 돼지는 별종인지 풀도 잘 먹는다.	False	2	3	11	12
2572	폐	폐를 끼쳐서 죄송합니다.	내 폐는 건강할까?	False	0	1	2	3
2573	대중	대중 매체와 교통수단의 발달로 의식주 생활이 전국적으로 균질하게 변화해 가고 있다.	익히 다닌 길이라 어둠 속에서도 그는 대중으로 더듬어 나갔다.	False	0	2	21	23
2574	조림	갈치 조림을 맛있게 먹었다.	형태는 나무를 돌아보며 강 건너에서 이곳까지 건너와 조림을 했다던 조부를 떠올렸다.	False	3	5	29	31
2575	양분	양분을 잘 생성해야 잘 큰다.	식물이 잘 크려면 양분이 충분하게 공급되어야 한다.	True	0	2	10	12
2576	임금	물가는 오르고 임금은 물가 인상을 따르지 못하니 생활이 어렵다.	만신창이가 되도록 싸우는 전쟁의 참화에서 백성을 구하고 보호하니 어진 임금이시다….	False	8	10	39	41
2577	이사	이사 간 집은 뒷담이 야트막했다.	나는 회사 가까이로 이사를 했다.	True	0	2	11	13
2578	단원	토론에 앞서 신입 단원을 여러분께 소개하겠습니다.	이 단원을 마무리할 테니, 질문이 있으면 해라.	False	10	12	2	4
2579	결정	대통령은 국가의 중대사 결정을 담당한다.	이번 결정은 어디까지나 네게 달렸다.	True	13	15	3	5
2580	사학	일본의 역사에 관심이 많았던 누나는 대학에서 동양사학을 전공하겠다고 말했다.	사학도 국가 교육의 중요한 몫을 담당하는 만큼 정부의 보조가 확대되어야 한다.	False	27	29	0	2
2581	모사	제주(祭主)는 무릎을 꿇고 모사에 술을 세 번 따랐다.	그 아이는 제사 때 모사에 술을 올리는 것을 거부했다.	True	15	17	11	13
2582	코	뜨개질을 하면서 한 코 한 코 정성을 다했다.	코를 풀면서 숨을 쉬려고 노력했다.	False	11	12	0	1
2583	운	사람들이 왜 웃는지 영문도 모르는 채 그는 운에 딸리어서 입을 벌리고 웃었다.	너 정말 운이 없는 편이구나?	False	24	25	5	6
2584	굴	땅 밑으로 굴을 파 놓았는데 제법 걸어 들어갈 만큼 긴 복도였다.	예전에는 바위에서 자연산 굴을 땄지만 요즘은 대부분 양식을 한다.	False	6	7	14	15
2585	사관	한일(韓日) 회담이 외교부 사관에서 열린다.	종로에 도착한 후 나는 우선 사관부터 정했다.	False	15	17	16	18
2586	자문	그는 등에 나비 모양의 자문이 있다.	그들은 전문가의 자문을 받아 일을 처리했다.	False	13	15	9	11
2587	동시	이 가수는 앨범 발표와 동시에 대형 콘서트를 준비하며 인기몰이를 준비하고 있다.	동시에 말하다	True	13	15	0	2
2588	양	양을 키우면 양모를 얻을 수 있다.	양이 자꾸 우는 바람에 아이도 울었다.	True	0	1	0	1
2589	톱	그는 톱으로 시험에 합격했다.	팔뚝만 한 나무를 톱으로 쓱싹 잘라 냈다.	False	3	4	10	11
2590	법정	법정에서는 여러 가지 증거를 토대로 하여 죄의 유무를 가린다.	모든 기업은 법정 할인율을 준수해야 한다.	False	0	2	7	9
2591	김	설렁탕에서 김이 모락모락 난다.	김이 모락모락 피어오르는 찻잔.	True	6	7	0	1
2592	상해	상해 치사 혐의로 구속 영장을 신청하다.	상해 임시 정부가 수립되어 조직적인 독립운동의 중심체 역할을 했다.	False	0	2	0	2
2593	전라	전라 감영에서 말방울을 울리며 담양으로 말을 달렸다.	전라가 된 몸으로 뛰쳐나온 그는 한순간에 사람들의 이목을 끌었다.	False	0	2	0	2
2594	원고	이 원고는 난문이 많다.	원고에 가끔 오자가 눈에 띈다.	True	2	4	0	2
2595	독자	한 컷짜리 만평이 독자들의 큰 호응을 얻었다.	그 아이는 독자로 두남받고 자라 버릇이 없다.	False	10	12	6	8
2596	발전	정보 통신 산업이 일일천리로 발전을 하고 있다.	그는 이 나라 언론 발전에 거보를 남겼다.	True	16	18	11	13
2597	다리	이 물건은 우리에게 오는 데 다리를 여럿 거친 것이다.	나는 그 사람을 잘 모르니 자네가 다리가 되어 주게나.	True	16	18	19	21
2598	발효	법률의 발효에도 시간이 걸린다.	계엄령 발효 전에 나도 도망쳐야지.	True	4	6	4	6
2599	개인전	그 선수는 개인전보다는 팀플에 강하다.	그 선수는 이번 대회에서 개인전 정상을 차지했다.	True	6	9	14	17
2600	조문	국제 외교에서는 상대국이 적국일지라도 조문 외교가 종종 있어 왔다.	조문에 적힌 대로 행하라.	False	21	23	0	2
2601	성	성의 문이 닫기 전에 어서 성을 빠져나가려는 사람들로 붐볐다.	성에 바짝 붙어서 공격할 때 제일 무서운 것은 돌팔매와 끓는 물 들이었다	True	0	1	0	1
2602	상장	그녀의 웃옷에는 상장으로 보이는 검은 리본이 달려 있었다.	이 복숭아는 상장 시기를 놓쳐 버리는 바람에 팔아도 아무런 이윤이 없다.	False	9	11	7	9
2603	초대	이날 밤에 석성의 내외는 크게 잔치를 베풀고, 조선 사신들을 전부 자기 집으로 초대를 했다.	소인이 진작 어르신을 초대를 했어야 했는데 이리 늦어 고개를 들기가 면구스러울 뿐입니다.	True	44	46	12	14
2604	동기	올 상반기 영업 실적은 전년 동기보다 두 배 가까이 늘었다.	대학 동기인 그와 나는 노년에 접어든 지금까지도 절친한 사이이다.	False	16	18	3	5
2605	가정	유럽 여행 중 우연히 독일인 가정에 초대받았다.	6월 초 선거가 실시된다는 가정 아래 준비를 해 왔다.	False	16	18	15	17
2606	무인	고속 도로에서 과속하는 장면이 무인 카메라에 잡혔다.	그는 뛰어난 무인이었으며 병법가였다.	False	17	19	7	9
2607	경주	경주 불국사는 신라 불교 미술의 완성미를 보여준다.	나는 원활한 경주를 위해 도로를 재정비했다.	False	0	2	7	9
2608	녹음	낮에 보면 그렇게 윤채가 자르르 도는 녹음도 어둠 속에서 보니까 영락없는 괴물의 형체였다.	녹음을 잘못했는지 가수의 노래에 여러 가지 잡스러운 소음들이 뒤엉겨 있어서 들을 수가 없었다.	False	21	23	0	2
2609	일식	그 식당에서는 정통 일식 요리로 송이 특선을 마련하였다.	개기 일식이 일어나다.	False	11	13	3	5
2610	조작	선거 결과가 조작이라는 뒷소문이 나돌았다.	이 산성의 축조 시기가 밝혀지면 비문의 조작 여부도 드러날 것이다.	True	7	9	22	24
2611	산출	이 금광에서는 금 산출이 되지 않는다.	이 지역에는 담배와 콩의 산출이 성한 편이다.	True	10	12	14	16
2612	진화	산불 진화 작업을 위해 소방관과 군인들이 총동원되었다.	건물이 높아짐에 따라 화재 발생 시 진화에 어려움이 많다.	True	3	5	20	22
2613	다리	새벽에 한강 다리가 끊어지는 바람에 자동차가 한강에 마구 다이빙을 했다는구먼.	비현실적인 의식과 숨 가쁘게 변화하는 바깥세상을 이어 주는 다리로서의 역할을 다했다.	True	7	9	33	35
2614	의식	미사는 천주교에서 엄수하는 예배 의식이다.	카메라 의식을 하지 않고 연기하기는 힘들다.	False	18	20	4	6
2615	화병	그는 말년에 망나니 아들로 속을 썩일 대로 썩이다가 화병을 얻어 제 명을 다 못 살고 죽었다.	용진이는 만수의 농간에 속아넘어간 것이 너무나 절통하여 화병이 나고 말았다.	True	29	31	31	33
2616	수위	순찰을 돌던 수위는 이상한 낌새를 느끼고 담장 쪽으로 손전등을 비추었다.	늙은 수위가 깍듯이 인사를 했다. 익삼 씨는 답례도 없이 수위를 향해 엄지손가락을 세워 보인 다음 턱짓으로 거만하게 사무실을 가리켰다.	True	7	9	3	5
2617	조작	그는 컴퓨터 조작에 능숙하다.	조작 방법이 훨씬 단순화되어서 배우고 익히는 데 시간이 많이 걸리지는 않을 것이다.	True	7	9	0	2
2618	난	이 난은 키우기 어려워서 잘 팔지 않는 품종이라고 한다.	우리 선생님이 교장 선생님께 난을 전달했다.	True	2	3	16	17
2619	전세	전세 계약 기간이 얼마 남지 않았다.	그가 지금 살고 있는 집을 전세로 복덕방에 내놓았다.	True	0	2	15	17
2620	산소	산소를 공급받지 못하면 어항 속의 물고기들은 미구에 죽을 것이다.	할아버지의 산소를 쓰기 위해 이름난 지관(地官)에게 감결을 부탁했다.	False	0	2	6	8
2621	김	술이 김이 다 빠져 밍밍하다.	김이 습기를 먹어 눅눅해졌다.	False	3	4	0	1
2622	제지	광물 섬유는 전자 제품 부품, 제지용 펄프, 단열재 등으로 광범위하게 활용된다.	그 제지 회사는 종이 사업을 확장하기 위해 경상도 산지에 대규모의 조림지를 확보했다.	True	17	19	2	4
2623	단지	간장이 단지에 담겨 있었다.	그는 두 번 다시 도박에 손을 대지 않겠다며 단지까지 해 보았지만 도박의 유혹에서 벗어날 수 없었다.	False	4	6	25	27
2624	떼	파리 떼가 음식에 들꾀다．	그렇게 떼를 쓰면 에비한테 잡혀간다.	False	3	4	4	5
2625	성화	선생님의 성화는 오래전부터 들어 왔습니다.	학병에서 돌아오자마자 그는 결혼을 독촉하는 아버지의 성화에 시달려야 했다.	False	5	7	29	31
2626	장	유산균 음료가 장에 좋다.	장이 나빠 설사를 자주 한다.	True	8	9	0	1
2627	임자	이 물건의 임자가 누구냐?	임자, 저녁밥 아직 안 되었소?	False	6	8	0	2
2628	초대	그의 초대에 친구가 응하지 않아 쓰렁쓰렁한 마음이 들었다.	초대를 받은 손님들이 들어오자 악단에서는 환영곡을 연주하였다.	True	3	5	0	2
2629	소생	증시(證市)는 정부의 긴급 지원으로 반짝 소생을 하다가 다시 바닥을 치는 고질적 상황에서 벗어나지 못했던 것이 그동안의 실상이었다.	천비의 소생.	False	23	25	4	6
2630	수행	아내는 회사에서 비서의 역할 수행을 위해 컴퓨터를 배웠다.	전 사원은 직무 수행 능력을 향상시켜야 한다.	True	16	18	9	11
2631	화랑	화랑은 무술과 도의를 닦고, 나라에 봉사하는 정신을 길러 삼국 통일에 큰 공헌을 하였다.	이 지역은 화랑이 집중적으로 들어선 예술의 거리이다.	False	0	2	6	8
2632	비상	저 새의 비상은 아름다웠다.	비상을 멈추지 말고 계속 날아라!	True	5	7	0	2
2633	전하	미천한 소신이 전하께 한 마디 아뢰려 하옵니다.	전하께서 장원 급제자에게 비단 열 필을 하사하셨다.	True	8	10	0	2
2634	구형	단석이란 돌을 구형으로 둥글게 물을 붓고 갈아서….	검사는 일심에서 4년 구형을 했다.	False	8	10	12	14
2635	시중	금분이는 이틀째나 밥을 안 먹고 잠도 안 자고 선생의 머리맡을 떠나지 않으며 시중을 든다.	이 약은 시중의 약국 어디서나 구할 수 있다.	False	43	45	5	7
2636	상소	그는 병든 노모를 봉양하려고 사직 상소를 올렸다.	그는 자신이 유죄라는 판결에 승복할 수 없다며 상소를 하겠다는 뜻을 밝혔다.	False	19	21	26	28
2637	보조	군인들은 서로 보조를 맞추어 행진했다.	다른 사람들과 보조를 맞추어 일을 끝냈다.	True	8	10	8	10
2638	때	때 묻지 않은 청정한 얼굴.	놀고 싶을 때 실컷 놀아라.	False	0	1	6	7
2639	마력	이 선물은 받는 이의 마음을 기쁘게 하는 마력을 가지고 있습니다.	미국 해군성에서 다음 의회에 사만 마력까지 되는 대포 십육 좌 싣는 제일 큰 전투함을 제조할 계획을 제출할 터이라더라.	False	23	25	19	21
2640	개성	개성에서 왔다고?	나는 사람들과 접하면서 사람마다 다른 개성을 발견했다.	False	0	2	21	23
2641	동상	동상 걸린 손가락이 불그뎅뎅하다.	혹한으로 많은 등산객이 동상에 걸렸다.	True	0	2	13	15
2642	통화	통화가 지금 얼마라고?	말하는데, 통화 좀 그만해!	False	0	2	6	8
2643	토	왜 이렇게 남의 말에 일일이 토를 달아?	이번만큼은 토 달지 말고 내 말 들어.	True	16	17	6	7
2644	불	날김을 불에 살짝 굽다.	쥐포를 불에 구워 먹다.	True	4	5	4	5
2645	단수	댐을 짓기 전에 강물의 단수 조치를 철저하게 해야 한다.	산사태로 무너져 내린 바위들 때문에 흐르던 물이 단수가 되었다.	True	13	15	27	29
2646	사례	충분히 사례를 드린 걸로 압니다.	사례를 들어서 알려주면 내가 이해하기가 좀 더 쉬워.	False	4	6	0	2
2647	양	양이 많아서 다 먹지 못해요.	양이 적은데 이걸 누구 코에 붙여?	True	0	1	0	1
2648	금주	이 설문에 대한 회답은 금주 안에 이메일로 보내 주시기 바랍니다.	그의 사업 구상은 참 좋았으나 선뜻 금주로 나서는 이는 없었다.	False	13	15	20	22
2649	주간	묘목의 주간을 일정하게 하라.	야간 수업을 주간으로 전환했더니 적응이 잘 안된다.	False	4	6	7	9
2650	자비	그의 표정에서는 자비를 베풀 의지가 전혀 보이지 않았다.	자비로 부담하기에는 좀 큰 금액이다.	False	9	11	0	2
2651	공포	공포는 전염성을 지니는 법이다.	공포를 쏘게 하고 정선을 명령했다.	False	0	2	0	2
2652	문단	이 작가는 젊은 나이에 신춘문예를 통해 문단에 등단했다.	문단은 앞 문단의 주장을 뒷받침해 주는 내용으로 이루어졌습니다.	False	22	24	0	2
2653	장기	장기를 한 수 접고 두다.	장기 기증을 신청했다.	False	0	2	0	2
2654	의상	용문사에는 의상 대사가 꽂은 구절장이 은행나무가 되었다는 천연기념물이 있다.	계절에 앞서가는 패션계에서는 벌써 내년 여름 의상을 선보이고 있다.	False	6	8	25	27
2655	동	나는 이 아파트 오 동에 산다.	그 구에서는 2개 동을 폐동하였다.	False	11	12	10	11
2656	채	가만히 있는 채로 누워있었다.	옷을 입은 채로 물에 들어간다.	True	7	8	6	7
2657	대수	개개의 숫자 대신에 숫자를 대표하는 일반적인 문자를 사용하여 수의 관계, 성질, 계산 법칙 따위를 연구하는 학문을 대수라고 한다.	첨단 정보를 얻고자 하는 욕구가 확대되면서 컴퓨터의 보유 대수가 점점 증가되었다.	False	64	66	32	34
2658	검정	그는 다음 검정고시에는 기어코 응시하기로 마음을 정했다.	아버지는 쉰 살이 넘어 검정고시를 준비하는 만학도이시다.	True	6	8	13	15
2659	음성	그는 에이즈 음성이야.	조직검사 결과는 음성이라고 뜨네요.	True	7	9	9	11
2660	정적	방 안은 폭풍우 전의 정적과 같이 고요하다. 경호가 가쁘게 쉬는 숨소리까지 계숙의 귀에 들리는 것 같았다.	정적은 차라리 소란보다 더 견딜 수 없는 고문이었다.	True	12	14	0	2
2661	정시	우리 회사는 정시에 퇴근하는 것이 제도화되었다.	인화는 눈을 커다랗게 뜨고 연연이의 얼굴을 정시를 한 채 고개를 돌리지 않았다.	False	7	9	24	26
2662	독주	한국 양궁팀의 독주는 막을 수 없었다.	그의 사인은 독주를 마신 것이었다.	False	8	10	7	9
2663	독주	당시의 지배층의 독주로 인해서 파생되는 사회적 아노미 현상은 미처 걷잡을 사이가 없었다.	정부의 독주를 허용하는 사태는 어떤 일이 있어도 용납될 수 없다.	True	9	11	4	6
2664	신장	마을 입구가 새롭게 신장이 되었다.	형의 사업이 일익 신장을 하는 추세다.	False	11	13	10	12
2665	모	어느 모로 보나 내가 적임인 듯하오.	여러 모로 그게 이득이지.	True	3	4	3	4
2666	시사	그녀는 시사 만평집을 출간하였다.	경훈이는 시사에 관심이 많아 매시간 핸드폰으로 뉴스를 확인한다.	True	4	6	5	7
2667	기사	그에 대한 기사가 지방지에 게재되었다.	기원에서 아마추어 기사에게 단증을 수여하였다.	False	6	8	10	12
2668	지주	그 지주는 남의 재물을 후려 먹었다.	소작인들은 지주와 소작료에 대하여 담판하였다.	True	2	4	6	8
2669	전원	전원 무기를 내던지고 즉시 아군 진지로 투항하라.	이 시험에 전원이 합격한 것은 예외적인 경우이다.	True	0	2	6	8
2670	중지	잠시 나의 뇌수는 모든 감정의 중지를 위해 노력하고 있었다.	중지를 모아 문제를 해결하기 위해 사람들이 모였다.	False	17	19	0	2
2671	주관	이 행사의 주관 단체는 방송국이다.	박물관 주관으로 조선 시대 민화 전시회가 열렸다.	True	6	8	4	6
2672	정상	사업이 정상 궤도에 올랐다.	환자의 맥은 거의 정상이었다.	True	4	6	10	12
2673	배포	배포가 두둑하다	배포가 남다르다.	True	0	2	0	2
2674	경비	이번 체육 행사에 드는 경비는 사장님께서 부담하시기로 했다.	그는 경비 특유의 감각으로 침입자가 숨어 있는 곳을 알아냈다.	False	13	15	3	5
2675	책장	책장을 책으로 빈틈없이 채우다.	책장에서 읽은 책을 뽑아내다.	True	0	2	0	2
2676	경기	그는 경기 지사를 역임한 정치가이다.	그는 이번 경기에서 뒷심이 달려 졌다.	False	3	5	6	8
2677	지장	된서리 때문에 벼 수확에 지장이 생겼다.	봄가물은 농사일 시작에 큰 지장을 준다.	True	14	16	15	17
2678	지사	김 대리는 해외 지사에 파견되었다.	기개가 높은 지사.	False	9	11	7	9
2679	가사	가사는 4ㆍ4조의 구를 연첩하는데, 구의 수에 제한이 없는 것이 특징이다.	창가의 형식은 종래의 가사나 민요에 바탕을 두고 변형을 시도한 것이다.	True	0	2	12	14
2680	우의	두 나라는 정기적으로 통교하면서 우의를 다져 왔다.	그들은 서로 수시로 연락하면서 우의를 다져 왔다.	True	18	20	17	19
2681	유두	유두에는 시원한 음식을 먹는다.	우리 세시풍속에는 유두가 있다.	True	0	2	10	12
2682	대사	대통령이 신임 대사에게 신임장을 수교하였다.	인위적인 느낌을 주는 대사를 자연스럽게 고치다.	False	8	10	12	14
2683	포수	송구는 정확했으나 포수가 어이없이 공을 놓치는 바람에 결국 실점했다.	투수와 포수를 아울러 배터리라고 부른다.	True	10	12	4	6
2684	망	오전 한때 전산 장애로 온라인망이 한 시간 동안 가동되지 않아 은행의 고객들이 큰 불편을 겪었다.	거미줄처럼 연결되는 화교들의 비즈니스 망은 일본 상사나 미국 다국적 기업의 영업망을 압도하고 있다.	True	16	17	21	22
2685	산지	산지에서 소비자에게 직송된 생선.	그 채소는 산지와 직거래되어 신선하다.	True	0	2	6	8
2686	동안	뭐? 40세라고? 완전 동안이네.	그와의 만남은 5년여 동안 지속되었다.	False	13	15	12	14
2687	조문	야당 의원은 헌법 조문을 들어 파견을 반대했다.	양만석은 그의 아버지 부고를 접하고 조문을 온 것이 아니고….	False	10	12	20	22
2688	소원	내 소원은 세계일주이다.	네가 정한 목표에 골인을 하면, 네 소원 한 가지를 들어주마.	False	2	4	20	22
2689	기구	그러한 국제적인 기구에 가입하기 위해서는 많은 회원국들의 동의가 필요하다.	이 시의 기구에서는 시상이 확장되고 결구에서는 풀어진 시상이 응축된다.	False	9	11	5	7
2690	상장	코스닥 종목 신규 상장을 할 때에도 기준가는 코스닥에서 형성된 시장 가격을 그대로 적용한다.	그녀는 초등학교 이 학년 시절, 운동장 조회에서 전교생이 지켜보는 가운데 교장 선생님이 계신 연단 위로 올라가 우등상장을 받던 기억을 떠올렸다.	False	10	12	64	66
2691	경관	피란길에 주변 경관의 감상담이나 늘어놓다니.	새로 지은 아파트는 뒷산의 경관을 해치고 있다.	True	8	10	15	17
2692	선발	그때 선발로 출발한 차가 지금 어디쯤이나 와 있는가를 묻기 위함이었다.	우리는 뛰어난 인재를 뽑기 위해 그 선발 기준을 엄격히 적용합니다.	False	3	5	20	22
2693	검정	그녀는 걸음을 빨리 걸으려고 하였으나 검정 고무신이 발보다 커서 헐렁거렸다.	누런 무명 적삼에 검정 통치마를 입은 엄마가 이쪽을 바라보다 걸음을 멈추었다.	True	21	23	10	12
2694	수술	수술 환자에게 수혈되는 혈액.	어머니는 수술 뒤 축난 몸을 보신하셨다.	True	0	2	5	7
2695	이상	자넨 이미 이상으로만 달아 있는 청년이 아니야.	나는 그 일을 맡은 이상 끝까지 해낼 작정이다.	False	6	8	11	13
2696	수소	저 수소는 보기보다 몹시 힘이 세다.	암소는 수소보다 육질이 비교적 연하다.	False	2	4	4	6
2697	교정	정호는 요즘 휜 척추를 바로 세우기 위해 매일 교정 체조를 하고 있다.	사람들은 그를 교도관이라며 낮게 보지만, 사실 그는 교정 이사관이다.	False	26	28	29	31
2698	소생	김 할머니는 자신의 친자식 4명과 새로 결혼한 남편의 전처소생 5명을 모두 자신의 힘으로 키워 냈다.	일부 의사들은 뇌파가 나타나지 않는 상태를 뇌사(腦死)라 하고 이를 소생 불가능의 지표로 삼자고 주장한다.	False	32	34	38	40
2699	눈	왕방울 같은 큰 눈.	여긴 눈이 많이 왔네.	False	9	10	3	4
2700	독주	이 독주를 마시면 나는 죽을 것이다.	나에게 독주를 건내며 죽으라고 말하는 너는 참 잔인하다.	True	2	4	4	6
2701	고물	이젠 이모도 고물이 다 됐다. 저녁땐 삭신이 안 쑤시는 데가 없단다.	고물을 묻힌 수수떡을 먹다.	False	7	9	0	2
2702	의원	아버지께서 아픈 누나를 위해 의원을 모시고 오셨다.	이번 국정 감사에서는 야당 의원들의 활약이 두드러졌다.	False	16	18	15	17
2703	선정	나랏님이 선정을 배푸샤 천하가 태평하도다.	선정이 된 사람들은 모두 배지를 착용했다.	False	5	7	0	2
2704	도민	경기도 도민들은 그 문제를 반대했다.	김 도지사는 이번 대회를 통하여 전 도민의 역량을 모으자고 호소했다.	True	4	6	20	22
2705	사자	먼 나라의 사자는 국가의 교류를 역설했다.	이웃 나라의 사자는 이상한 말을 믿을 수 있게 처리했다.	True	6	8	7	9
2706	대군	전봉준은 십만 대군에게 공주성을 향하여 진군하라는 명을 내렸다.	청나라는 대군을 볼모로 잡아가려 하였다.	False	8	10	5	7
2707	전시	역대 수상자들의 근작들을 모은 전시가 열렸다.	전시 상태는 아니나 국교는 어제부터 단절되었다.	False	17	19	0	2
2708	대사	이튿날 신랑은 백마를 타고 신부 집으로 가서 화려한 대사를 치렀다.	분명 이현상이 그때 한 말은 인간의 말이 아니고 무대를 의식한 대사였다.	False	29	31	35	37
2709	유기	관 내에 장치(藏置)한 물건을 손괴, 유기, 은닉, 또는 영득한 자는 7년 이하의 징역에 처한다.	그는 유아 유기의 혐의를 받고 있다.	True	21	23	6	8
2710	조류	울돌목은 이순신 장군이 조류를 이용하여 왜군을 무찌른 역사적인 해전장이다.	그의 독특한 기술 방식이 문학의 새 조류를 형성하게 했다.	True	13	15	20	22
2711	백반	순두부백반을 시키면…삼삼한 된장찌개와 몇 가지 반찬이 함께 나온다.	그 한식집은 더덕 구이와 된장국을 곁들인 백반이 일품이다.	True	3	5	23	25
2712	산수	옛 선비들은 우리나라의 산수를 화폭에 즐겨 담았다.	이곳은 산수의 온자한 멋은 적으나 정적하다.	True	13	15	4	6
2713	정의	설명의 방법으로는 정의, 예시, 비교와 대조, 분류와 구분 등이 있다.	본래의 의미에서의 일탈을 막기 위해 엄밀하게 정의를 하는 일이 필요하다.	True	10	12	25	27
2714	검사	형식대로의 선서를 시키고 난 뒤 검사가 물었다.	검사는 기자들에게 사건을 착착하게 설명하였다.	True	18	20	0	2
2715	정상	정상들이 회담을 갖기로 하였다.	한일 양국 정상 회담이 개최되었다.	True	0	2	6	8
2716	수치	대기 오염이 기준 수치를 넘어서고 있다.	내가 그런 실수를 하다니 이게 무슨 수치냐?	False	10	12	20	22
2717	전지	그녀는 가공할 무기가 집결된 전지로 남편을 떠나보내면서 연방 눈물을 글썽였다.	이 전지는 플러스극에서 발생하는 수소의 전류가 흐름을 방해하여 전압이 곧 떨어지게 되므로 실용적인 것이 못 된다.	False	16	18	2	4
2718	고시	고시 공부를 하겠다고 절로 들어간 오빠는 얼마 못 가 집에 되돌아왔다.	그는 자기가 고시에 합격되어 관리가 된다는 것은 생각해 본 일조차 없다.	True	0	2	7	9
2719	통화	통화 스와프를 하는 이유는 다양하다.	통화 중에 정말 죄송합니다만 얼른 이것 좀 봐 보셔요.	False	0	2	0	2
2720	시기	시기와 질투는 결국 관계의 파멸을 불러온다.	남에 대한 시기 보다는 남에 대한 사랑을 키우세요.	True	0	2	6	8
2721	말	그 말은 길이 잘 들었다.	시장에서 쌀 두 말을 샀다.	False	2	3	9	10
2722	대변	갈치의 가격은 요즈음의 높은 물가를 대변을 하고 있다.	나는 갑자기 대변이 마려워 급하게 화장실로 달려갔다.	False	20	22	7	9
2723	진상	사건의 진상을 샅샅이 알아내다.	사건의 진상이 선명히 밝혀졌다.	True	4	6	4	6
2724	지연	회사에서의 학연 지연은 악폐습에 가깝다.	이번 일을 추진해 오면서 공주니 부여니 따위의 지연 같은 걸 가려 생각해 본 일은 없습니다.	True	9	11	26	28
2725	성인	누군가를 도와줬다고 모두가 성인이 되는 것은 아니다.	네가 벌써 성인이라니, 시간 참 빠르다.	False	15	17	6	8
2726	간장	국을 소금으로 간하느냐 간장으로 간하느냐에 따라 맛이 다르다.	시장해서 그런지 식은 밥을 간장에 비벼 먹어도 밥이 다디달다.	True	13	15	15	17
2727	기미	그의 얼굴에서는 어떤 변화의 기미도 엿보이지 않았다.	역전의 기미가 보이자 관중석의 열기가 점차 고조되어 갔다.	True	16	18	4	6
2728	젓갈	선물로 들어온 이 젓갈은 고향의 맛이 난다.	한 젓갈만 먹겠다던 것이 벌써 반을 먹이치웠다.	False	10	12	2	4
2729	각	돼지를 각 떠서 집집이 나누었다.	각이 진 모서리에 찧었다.	False	4	5	0	1
2730	대구	대구를 먹어 봤니?	나는 당장 대구로 떠났다.	False	0	2	6	8
2731	재	저 뒷산의 재는 산책하기에는 안 좋다.	너를 태우고 남은 재가 위안이 될지도 모른다.	False	6	7	10	11
2732	기체	할아버님, 그간 기체 강녕하시옵니까?	비행기 기체가 활주로 위로 부유하기 시작했다.	False	9	11	4	6
2733	요지	그녀는 한반도의 평화적 통일이 세계 평화에 크게 기여할 것이라는 요지의 선언문을 낭독하였다.	대전은 영호남이 갈라지는 교통의 요지이다.	False	36	38	18	20
2734	동심	전시품들을 둘러보는 관람객들은 자연스레 동심의 세계로 인도되었다.	불량 식품을 만들어 동심을 속이는 식품사의 상혼은 지탄받아 마땅하다.	True	22	24	11	13
2735	결정	회의 결정 사항을 승복하다.	입대 연기 불허 결정	True	3	5	9	11
2736	침	의원은 다시 다른 쪽의 혈에다 침을 꽂았다.	그는 입에 침도 안 바르고 거짓말을 해 댄다.	False	17	18	6	7
2737	역전	역전에서 기가 막히는 전집이 있어요.	역전에서 떡볶이 먹고 가요.	True	0	2	0	2
2738	전문	고향 집으로부터 아버지가 위독하시다는 전문을 받았다.	묵묵히 전각 안을 돌다가…천천히 전문을 나서서 환궁을 하는 모양이었다.	False	21	23	18	20
2739	마력	지팡이에 마력을 주입하자 희미한 빛이 세어나오기 시작했다.	마법사가 사용하는 힘을 마력이라고 부른다.	True	5	7	13	15
2740	강도	강도들은 있는 집만 골라 털었다.	강철보다 합금의 강도가 더 높다.	False	0	2	9	11
2741	상장	그의 방에는 각종 경기에서 탄 상장과 메달이 전시되어 있었다.	그는 졸업식에서 우등상장을 받았다.	True	17	19	11	13
2742	사족	그는 친구의 말이라면 사족을 못 쓴다.	술을 보자 그는 사족을 들고 반가워했다.	False	12	14	9	11
2743	금수	그는 눈이 어두워져 금수처럼 개에게 달려들었다.	부모를 구타한 금수보다 못한 비인간을 어찌 용서하겠는가.	True	11	13	8	10
