source	acceptability_label	source_annotation	sentence
T01343	0	*	질문이 없으시는 분은 가도 됩니다.
T01345	1		철수는 정신병원에 영수를 보내 주었다.
T01345	0	*	철수는 영희에게 정신병원에 영수를 보내 주었다.
T01346	1		고래는 음식을 바닷속에 가라앉아 먹는다.
T01346	0	*	고래는 음식을 바닷속에 가라앉고 먹는다.
T01347	1		아무것도 나는 영희가 알지 못한다고 생각한다.
T01347	0	?/*	아무것도 나는 영희가 안다고 생각하지 않는다.
T01348	0	*	그는 세 사람이 다섯 사람이라고 말했다.
T01349	1		철이는 소설책을 읽었지만 돌이는 영화를 보았다.
T01349	0	*	어제 철이는 소설책을 읽지만 돌이는 영화를 보았다.
T01350	1		철수가 우리 집에서 놀고 갔다.
T01350	0	*	철수가 우리 집에서 놀아 갔다.
T01351	1		순이가 영수가 아무것도 먹지 않았다고 생각했다.
T01351	0	*	순이가 영수가 아무것도 먹었다고 생각하지 않았다.
T01352	1		지금 집에 어른들은 엄마밖에는 아무도 안 계셔요.
T01352	0	*	지금 집에 어른들은 엄마밖에는 아무도 없어요.
T01353	1		혹시 갑자기 그가 와서 물으면 내가 없다고 대답해.
T01353	0	*	아마 갑자기 그가 와서 물으면 내가 없다고 대답해.
T01355	1		그 산이 얼마나 높은가?
T01355	0	*	그 산이 얼마나 높는가?
T01356	1		너도 그렇게 생각하니?
T01357	1		안된 사람이 아무도 없다.
T01357	0	*	안된 사람이 아무도 있다.
T01358	1		아빠가 장원이를 도와 주었을지도 모른다.
T01358	0	*	아빠가 장원이를 도울지도 몰라 주었다.
T01360	1		형이 크나 아우가 작다.
T01360	0	*	아우가 형이 크나 작다.
T01362	1		이 샘은 절대 마르지 않는다.
T01362	0	*	이 샘은 절대 마른다.
T01363	0	*	철수는 이제도 공부하고 있다.
T01364	1		노인들밖에 이곳을 안 찾는다.
T01364	0	*	노인들밖에 이곳을 찾는다.
T01365	1		철수는 불을 꺼 주었다.
T01366	1		우리 학급을 위해 더욱 모이기에 힘씁시다.
T01366	0	*	우리 학급을 위해 더욱 모임에 힘씁시다.
T01367	1		철수가 편지를 쓰지 않지는 않았다.
T01367	0	*?	철수가 편지를 썼지는 않니?
T01368	1		너무 시끄러워.
T01368	0	*	하도 시끄러워.
T01369	1		겨우 훈장질밖에 못하고 있습니다.
T01369	0	*	겨우 훈장질도 못하고 있습니다.
T01371	1		밤낮으로 읽은 보람 때문에 그냥저냥 읽어진다.
T01371	0	??	밤낮으로 읽은 보람 때문에 그냥저냥 읽어졌다.
T01372	1		물가가 올라간다고 하는 예상을 믿었다.
T01372	0	*	물가가 올라간다고 예상을 믿었다.
T01373	1		네가 그것을 했단 말이야.
T01373	0	*	네가 그것을 했단다 주장이냐?
T01374	1		딸한테 잘 해 주시는 담임 선생님이 고맙게 보이는 것은 사실이다.
T01374	0	*	딸한테 잘 해 주시는 담임 선생님이 고마워 보이는 것은 사실이다.
T01375	1		마을 제일의 갑부가 하루아침에 거지로 전락하였다.
T01375	0	*	마을 제일의 갑부가 거지이다.
T01376	1		이도령이 춘향이의 동생을 붙잡았다.
T01376	0	*	이도령이 춘향이를 동생을 붙잡았다.
T01377	1		철수밖에 오지 않았다.
T01377	0	*	철수밖에 왔다.
T01378	1		순이가 자동차로 갔다.
T01378	0	*	순이가 자동차 갔다.
T01379	1		거지들이 시가지에 돌아다녔다.
T01379	0	*	거지들이 다녔다, 시가지에 돌아.
T01380	1		아이가 장난감을 방과 마당에 흩어 놓았다.
T01380	0	*	아이가 장난감을 방 마당에 흩어 놓았다.
T01381	1		창호는 몸이 불어나면서는 담배를 끊었다.
T01381	0	*	창호는 몸이 불어나며는 담배를 끊었다.
T01382	1		김영수 군이 먼저 대답해 봐요.
T01382	0	*	김 군이 먼저 대답해 봐요.
T01383	0	*	철수가 집에 간다. 그리고 순이가 집에 가니?
T01384	1		철수가 영이를 만나지는 않았다.
T01384	0	*	철수가 영이를 만나기는 않았다.
T01385	1		내 고향이 강릉이기에 올라오는 길에 들렀다.
T01385	0	*	내 고향이 강릉이길래 올라오는 길에 들렀다.
T01386	1		나는 김 씨가 부럽다.
T01386	0	*	나는 김 씨한테 부럽다.
T01387	1		네가 갔더라도 철수는 못 만났을거야.
T01387	0	*	네가 가더라도 철수는 못 만났을거야.
T01389	0	*	철수는 화가 나고 학교에 갔다.
T01390	1		저 여자는 갓 아기를 낳았다.
T01390	0	*	갓 저 여자는 아기를 낳았다.
T01391	1		철수는 영희의 흰 손을 잡았다.
T01391	0	*	철수는 영희를 흰 손을 잡았다.
T01392	1		벽이 흐물거렸다.
T01392	0	*	벽이 흐물하였다.
T01394	1		아버지가 영이를 못 만나게 한다.
T01394	0	*	아버지가 영이를 못 만났게 한다.
T01395	1		개가 고기를 물어 갔다.
T01395	0	*	개가 내 다리를 물어 갔다.
T01396	1		그 사람 퍽 인상적이었지?
T01396	0	*	그 사람 퍽 인상적이었니?
T01398	1		그 사람이 잘된 것이 나를 고맙게 한다.
T01398	0	*	그 사람이 잘된 것이 나한테 고맙게 한다.
T01399	0	*	졸리워야 들어가거라. 장조림이라도 해드려야지.
T01400	1		박 씨는 사표를 내던졌다. 나 역시 그렇게 하고 싶었지만 용기를 낼 수 없었다.
T01401	0	*	과연 철수가 똑똑해라.
T01402	1		영희가 눈이 높다.
T01402	0	??	영희의 눈이 높다.
T01403	1		사랑이 목사님에 의해 이루어져 간다.
T01403	0	*	사랑이 목사님에 의해 이루어 가진다.
T01404	1		학생들이 그 강의실에서는 세미나를 해도 좋다.
T01406	1		철수는 땅에 금을 그어 주었다.
T01406	0	*	철수는 영희에게 땅에 금을 그어 주었다.
T01407	1		선생님이 그럴 리가 없어.
T01407	0	*	선생님이 그럴 이럴 리가 없어.
T01408	1		영이가 토끼를 그물로 잡았다.
T01408	0	*	토끼가 영이에게 그물로 잡혔다.
T01409	1		목욕하다가 '불이야!' 하는 소리에 그대로 뛰쳐나왔지.
T01409	0	*	목욕했다가 '불이야!' 하는 소리에 그대로 뛰쳐나왔지.
T01410	1		아무도 몰인정하지 않다.
T01410	0	*	아무도 몰인정하다.
T01412	1		어제 백화점에서 본 텔레비전이 삼성이다.
T01412	0	??	삼성이 어제 백화점에서 본 텔레비전이다.
T01413	1		내가 당신과 결혼하고 싶소.
T01413	0	*	나와 당신이 결혼하고 싶소.
T01414	1		철수는 자기가 그 일을 하겠다고 생각했다.
T01415	1		이곳에서의 생활은 비교적 안정되어 있었다.
T01415	0	*	이곳에서 생활은 비교적 안정되어 있었다.
T01416	1		나는 그가 자랑스러워서 마음이 흐뭇했다.
T01416	0	*	나는 그가 부러워서 마음이 흐뭇했다.
T01417	1		순이가 큰 선물을 바랐다.
T01417	0	??*	순이가 큰 선물 바랐다.
T01418	1		포수가 범을 죽였다.
T01418	0	*	포수가 범에게 죽였다
T01420	1		철수는 아픈데도 병원에조차 가지 않았다.
T01420	0	??	철수는 아픈데도 극장에조차 갔다.
T01421	0	*	그의 불손함을 보니 노여운 생각이 난다.
T01422	0	*	나는 그 여자를 사랑하길래 더 이상 그 여자를 만나지 않았어.
T01423	1		철수가 영호와 서로 도왔다.
T01423	0	*	철수가 영호와 서로를 도왔다.
T01424	1		걸음아 날 살려라 하고 내뺐다.
T01425	1		내가 먹으려고요.
T01425	0	*	내가 먹고 자요.
T01426	1		철수는 돌이를 때리고 싶었고, 영이도 돌이를 때리고 싶었다.
T01426	0	*	철수는 돌이를 때리고 싶었고, 영이도 때리고 그랬다.
T01427	1		이 옷이 나일론이다.
T01427	0	*	이 나일론이 이 옷이다.
T01428	1		나는 그가 부끄럽게 느껴진다.
T01428	0	*	나는 그를 부끄럽게 느낀다.
T01429	1		이거 비밀인데, 그거 돌이가 망가뜨린 거 아니야.
T01429	0	*	이거 비밀인데, 그거 돌이가 망가뜨린 거 아니잖아.
T01430	1		그가 죽었다고 했지, 한데 그가 다시 살아왔어.
T01430	0	*	그가 죽었다고 했지, 이런데 그가 다시 살아왔어.
T01431	1		철수가 영이를 만나지를 않았다.
T01431	0	*	영이를 만나지를 철수가 않았다.
T01432	1		더구나 나는 외롭기에 찾아갔던 집인 만큼 그렇게 하자고 선뜻 승낙했었다.
T01432	0	*	더구나 나는 외롭길래 찾아갔던 집인 만큼 그렇게 하자고 선뜻 승낙했었다.
T01433	1		나는 춥다.
T01433	0	*	너는 춥다.
T01434	1		영희가 오고, 철수가 떠난다.
T01435	1		그는 소주를 마시더라.
T01435	0	*	나는 소주를 마시더라.
T01436	0	*	할아버지께서는 그 책을 한 번도 안 읽으셔 봤다.
T01437	1		철수가 가라느냐?
T01437	0	*	철수가 가냐느냐?
T01438	1		딸애가 자라서 시인이 되었다.
T01438	0	?	딸애가 자라서 시인되었다.
T01439	0	?	사과들을 많이 먹었다.
T01440	1		참다운 사람과 같은 사람을 만나야지.
T01440	0	*	참다운 사람이 같은 사람을 만나야지.
T01442	1		철수는 침대에 아이를 눕혀 주었다.
T01442	0	*	철수는 영희에게 침대에 아이를 눕혀 주었다.
T01443	1		창호는 시인이고 화가이다.
T01443	0	*	창호는 시인이고서 화가이다.
T01444	1		나는 그 세탁소에 옷을 맡게 했는데, 그 세탁소는 옷을 맡지 않았다.
T01444	0	*	나는 그 세탁소에 옷을 맡겼는데, 그 세탁소는 옷을 맡지 않았다.
T01445	1		앞서의 현상은 뒤따르는 현상과 상관적이다.
T01445	0	*	앞서의 현상은 상관적이다.
T01446	1		어제 남부 지방에는 눈이 왔더라.
T01446	0	?*	어제 밖에는 눈이 왔더라.
T01447	1		그가 연주자일 때, 그는 행복해진다.
T01447	0	*	그가 연주가일 때, 그는 행복해 진다.
T01448	1		철수가 갑니다그려.
T01448	0	*	철수가 갑니까그려?
T01449	1		철수가 아무도 만나지 않았다.
T01449	0	*	철수가 아무도 만났다.
T01450	1		그는 아직 서 있다.
T01450	0	*	그는 아직 섰다.
T01451	1		그는 손을 내밀고 갔다.
T01451	0	*	그는 손을 내밀어 갔다.
T01452	1		그 일이 잘 될까 싶다.
T01452	0	*	그 일이 왜 잘 될까 싶다.
T01453	1		죄송해요, 너무 기다리게 해서요.
T01453	0	*	죄송해요 너무 기다리게 해요.
T01454	1		그가 눈을 깜작이기 시작한다.
T01454	0	*	그가 눈을 한 번 깜작이기 시작한다.
T01455	1		내가 아버지가 좋다.
T01455	0	*	내가 아버지가 좋으시다.
T01456	0	*	철수가 많이 나무했니?
T01457	1		철수가 밥을 냉큼 먹는다.
T01457	0	*	철수가 집에 냉큼 있다.
T01458	1		기차가 떠나면서 순이가 도착했다.
T01458	0	*	기차가 떠나며 순이가 도착했다.
T01459	1		눈이 오는 것 같다.
T01459	0	*	눈이 오는 것이 같다.
T01460	1		그는 그 자신을 알고 있다.
T01460	0	*	그는 그 자기를 알고 있다.
T01461	1		철수가 학교에 가지를 않았다.
T01461	0	*	철수가 학교에 가지가 않았다
T01462	1		내가 친구가 많다.
T01462	0	*	내가 친구를 많다.
T01463	1		철수가 어제 산 말을 타기를 좋아한다.
T01463	0	*	철수가 어제 산 말타기를 좋아한다.
T01464	1		갈릴레이는 지구가 자전한다고 주장하였다.
T01464	0	*	갈릴레이는 지구가 자전하기를 주장하였다.
T01465	1		혜성이는 힘이 세다. 난 그러한 남자가 좋다.
T01465	0	*	혜성이는 힘이 세다. 난 그리한 남자가 좋다.
T01466	1		아저씨, 집에 가십니까?
T01466	0	*	아저씨, 집에 가는가?
T01467	1		우리가 빨리 집으로 돌아오기를 잘했다.
T01467	0	*	우리가 빨리 집으로 돌아옴을 잘했다.
T01469	1		철수는 아버지와 어머니를 닮았다.
T01469	0	*	철수는 어머니를 아버지와 닮았다.
T01471	1		아무도 영수를 만나지 않는 중이다.
T01473	1		남호가 열심히 어려운 공부를 한다.
T01473	0	*	남호가 어려운 열심히 공부를 한다.
T01474	1		영수는 서울로 이사를 가게 되었다.
T01475	1		그 점을 잘못 알고 있기에 원장은 여태도 그 사람들하고 쓸데없는 실랑이를 벌이고 있었다.
T01475	0	*	그 점을 잘못 알고 있길래 원장은 여태도 그 사람들하고 쓸데없는 실랑이를 벌이고 있었다.
T01476	1		그는 이미 광주에 갔다가 부산으로 출발했다.
T01476	0	?*	그는 이미 광주에 가다가 부산으로 출발했다.
T01477	1		영희는 시험지를 차분히 읽어 간다.
T01477	0	*	영희는 시험지를 차분히 간다.
T01478	1		그 비는 잠시 지나가는 소나기임에 분명하다.
T01478	0	*	그 비는 잠시 지나가는 소나기이기에 분명하다.
T01479	1		나는 이 순간을 얼마나 기다렸던가?
T01479	0	*	나는 이 순간을 얼마나 기다리던가?
T01480	0	*	춘향이가 그만 지쳤겠다.
T01481	1		철수가 칭찬을 들었다.
T01481	0	*	칭찬이 철수에게 들리었다.
T01482	0	*	아침에 비가 안 오길래 우산을 안 가지고 왔니?
T01483	1		영이에게 병이 있는데, 철수도 그렇다.
T01484	1		내가 그때 열심히 공부했다면 아직도 이렇게 살고 있진 않을 텐데
T01484	0	?*	내가 그때 열심히 공부했다면 아직 이렇게 살고 있진 않을 텐데.
T01485	1		명이밖에 그런 소리를 했겠느냐?
T01485	0	*	아무도 그런 소리를 했겠느냐?
T01486	1		철수가 영희를 밀어 영희가 떨어졌다.
T01486	0	*	철수가 영희를 밀어 떨어졌다.
T01487	1		영희는 손이 잡혔다. 철수에게.
T01487	0	*	영희는 손이 잡혔다. 철수가.
T01488	1		학생들에 의해 선생님이 공경 받았다.
T01488	0	*	학생들에 의해 선생님이 공경당했다.
T01489	1		소대장은 부하들에게 철수하라고 명령했다.
T01490	1		그는 아직 기다려 보면서 사태를 관망할 생각이다.
T01490	0	*	그는 여태 기다려 보면서 사태를 관망할 생각이다.
T01492	0	*	잡상인들이 달아나길래 김 씨도 섞여서 달아났습니다.
T01493	1		호명된 사람은 그이기에 내가 대신 시상대로 달려갔다.
T01493	0	*	호명된 사람은 그이길래 내가 대신 시상대로 달려갔다.
T01494	1		제가 학생들에게 책을 읽게 하겠습니다.
T01494	0	?	제가 책을 읽게 하겠습니다.
T01495	1		철수가 오면 순이는 가거라.
T01495	0	?	철수가 와야 순이는 가거라.
T01497	1		나는 그 사람에게 둘렸다.
T01497	0	*	그 사람이 나를 둘렀다.
T01498	1		영희가 책을 빨리를 읽었다.
T01498	0	*	영희가 책을 빨리가 읽었다.
T01499	1		할머님은 그때 일을 잊어 버리셨다.
T01499	0	*	할머님은 그때 일을 잊으셔 버리셨다.
T01500	1		혜성이는 착하다. 그렇지만 얼굴은 못생겼다.
T01500	0	*	혜성이는 착하다. 그러지만 얼굴은 못생겼다.
T01501	1		소리 없이 굴러가는 자동차가 벤츠이다.
T01503	1		철수는 어제 형과 싸우고 오늘 가출 중이다.
T01503	0	*	철수는 어제 형과 싸웠고 오늘 가출 중이다.
T01504	1		지금 방에 선생님밖에 안 계시다.
T01504	0	*	지금 방에 선생님밖에 없다
T01506	1		그런 사람을 뭣 때문에 돌봐 주니, 돌봐 주기는.
T01506	0	*	그런 사람을 뭣 때문에 돌봐 주니, 주기는.
T01507	1		나는 빗물 떨어지는 소리를 들었다.
T01507	0	*	나는 빗물 떨어지는 소리를 듣더라.
T01508	1		딸기가 빨강색이다.
T01508	0	*	그 빨강색이 딸기이다.
T01509	0	*	저애는 키가 크게 보인다.
T01510	1		뭉쳐야 살고 흩어지면 죽는다.
T01510	0	?	뭉쳐야 살고 흩어져야 죽는다.
T01511	1		그곳의 자리를 미리 알아 두었다.
T01511	0	*	그곳의 자리를 미리 알아 안 두었다.
T01512	1		농민은 가뭄을 견뎌 냈고, 기업은 불황을 이겨 냈다.
T01512	0	*	농민은 가뭄을 견뎌, 기업은 불황을 이겨 냈다.
T01514	1		나는 세종대왕께서 훈민정음을 지으신 것을 안다.
T01514	0	*	나는 세종대왕께서 훈민정음을 지으실 것을 안다.
T01515	1		그는 나의 고마움에 감격했다.
T01515	0	*	그는 나의 고마움으로 감격했다.
T01516	1		나는 미국에 하루빨리 가고 싶다.
T01516	0	*	나는 미국에 가고 하루빨리 싶다.
T01517	1		영희는 철수가 엉뚱한 짓을 하고 있음을 보았다.
T01517	0	*	영희는 철수가 엉뚱한 짓을 하고 있기를 보았다.
T01518	1		아이구 추워라.
T01518	0	*	아이구 추워라요.
T01519	1		철수는 그 건물에 들어갈 때면 언제나 배가 아프다.
T01519	0	*	철수의 그 건물에 들어갈 때면 언제나 배가 아프다.
T01520	1		철수가 영희를 애인으로 삼았다.
T01520	0	*	철수가 영희, 애인으로 삼았다
T01522	1		어미 품으로 달려들었다, 그 아이는.
T01522	0	*	그 아이는 들었다, 어미 품으로 달려.
T01523	1		남들이 나를 가엽게 볼까 봐 걱정이다.
T01523	0	*	남들이 나를 부럽게 볼까 봐 걱정이다.
T01524	1		철수는 영희의 속마음을 못 알아내었다.
T01524	0	*	철수는 영희의 속마음을 몰라내었다.
T01525	1		상처가 다친 지 사흘이 지나도록 아프다.
T01525	0	*	상처가 다친 지 사흘이 지나게 아프다.
T01526	1		내가 산에 가거든.
T01526	0	*	내가 산에 가더라.
T01527	1		이 천장에서 구석에 달려있던 거미줄이 떨어졌다.
T01527	0	*	이 천장이 구석에 달려있던 거미줄이 떨어졌다.
T01528	1		양쪽은 협상에를 임했다.
T01528	0	*	양쪽은 협상을 임했다.
T01530	1		나는 도무지 그들이 싫다.
T01530	0	*	나는 결코 그들이 싫다.
T01531	0	*	어머니께서는 막내를 이 과자를 좋아한다 생각하셨다.
T01532	1		아주머니가 불을 피워 갔다.
T01532	0	*	아주머니가 담배를 피워 갔다.
T01533	1		순이가 선생님이 철수를 만나시게 했다.
T01533	0	*	순이가 선생님이 철수를 만나게 하셨다.
T01534	1		눈이 이렇게 내려서 얼마나 좋은지요.
T01534	0	*	눈이 이렇게 내리길래 얼마나 좋은지요.
T01535	1		그래, 나도 같이 가겠네.
T01535	0	*	그래, 나도 같이 가겠습니다.
T01537	1		철수가 악조건과 싸웠다.
T01537	0	*	악조건과 철수가 싸웠다.
T01538	0	*	시험삼아 몇 번 아편을 보다가 끝내는 부자가 다같이 중독에 걸렸다.
T01539	1		나는 그때 열심히 일했으나, 틈틈히 놀기도 했어.
T01539	0	*	나는 그때 열심히 일하나, 틈틈히 놀기도 했어.
T01540	0	*	곧 영화가 상영되겠어.
T01541	1		나도 그 글을 세세히 읽어 보았다.
T01541	0	*	나도 그 글을 읽어 꼼꼼히 보았다.
T01542	1		아이는 어미 품으로 달려들었다
T01542	0	*	아이가 든 것은 어미 품으로 달려이다.
T01543	0	*	이제 가도 좋으십니다.
T01544	1		비가 많이 오려고 한다.
T01544	0	*	비가 오려고 많이 한다.
T01545	1		백화점이 사람들로 붐빈다.
T01545	0	*	백화점이 영희로 붐빈다.
T01546	1		영이는 철수에게 정직한 사람이 되라고 설득했다.
T01547	1		손발이 시렸다.
T01547	0	*	손발이 시려 주었다.
T01548	1		언제나 그는 학교에 일찍 간다
T01549	1		할아버지께서 책을 막연히 읽으셨다.
T01549	0	*	할아버지께서 책을 막연히 읽었다.
T01550	1		현정이는 날씬하지 않다.
T01550	0	*	현정이는 날씬하잖다.
T01551	1		철수가 사장에 의해 해고를 당했다.
T01551	0	*	철수가 저절로 해고를 당했다.
T01552	1		그는 부끄러움으로 얼굴이 빨개졌다.
T01552	0	*	그는 부끄러움에 얼굴이 빨개졌다.
T01553	1		그 책이 재미있다거든 봅시다.
T01553	0	*	그 책이 재미있다거든 봅니다.
T01554	1		2시에 나가면 항상 제 시간에 도착했었지.
T01554	0	*	2시에 나갔으면 항상 제 시간에 도착했었지.
T01555	1		영희는 철수를 실제로 우습게 여긴다.
T01555	0	*	영희는 철수를 실제로 여긴다.
T01556	1		영희가 예쁘고 슬기롭다.
T01556	0	*	예쁘고 영희가 슬기롭다.
T01557	1		전 사막을 헤매다.
T01557	0	*	전 사막에서 헤매다.
T01558	1		막내가 매를 깡패에게 맞았다.
T01558	0	*	막내가 매를 깡패에게를 맞았다.
T01559	1		철수는 그림을 못 그리면서 미술대학에 다닌다.
T01559	0	*	철수는 그림을 못 그리며 미술대학에 다닌다.
T01560	1		누가 아프람?
T01560	0	*	누가 아펐으람?
T01561	1		너도 이젠 말을 함부로 하는구나.
T01561	0	*	너도 이젠 말을 함부로 하는군.
T01562	1		선생님이 드디어 읽어 보셨군.
T01562	0	*	선생님이 드디어 읽으셔 봤군.
T01563	1		여행할 물건을 챙기다가 말았다.
T01563	0	*	여행할 물건을 챙겨 놓다가 말았다.
T01564	1		저자가 결론 부분을 단정적으로 처리하지 않는 것이 이 논문에 특히 뛰어나다.
T01564	0	?*	민우가 결론 부분을 단정적으로 처리하지 않은 것이 인아의 논문에 특히 뛰어나다.
T01565	1		순이는 상당히 엉망이다.
T01565	0	*	순이는 상당히 밥을 먹었다.
T01566	1		철수는 영희에게 책을 읽어 주었다.
T01566	0	*	철수는 영희에게 책을 읽었다.
T01567	1		그 사람은 대머리고, 그 동생도 대머리입니다.
T01568	1		앞날이 걱정이 된다.
T01568	0	*	앞날이 걱정으로 된다.
T01569	1		언론은 그 사건을 보도하기에 바쁘다.
T01569	0	*	언론은 그 사건을 보도함에 바쁘다.
T01570	1		영희가 집에는 없는가?
T01570	0	*	영희가 집에는 없은가?
T01571	0	*	철수가 달리게 영희 했다
T01573	1		철수는 문을 열어 버려 주었다.
T01573	0	*	철수는 영희에게 문을 열어 버려 주었다.
T01574	1		길남이는 서울에 온 것을 후회하였다.
T01574	0	*	길남이는 서울에 올 것을 후회하였다.
T01575	1		도둑이 경찰에게 잡혀갔다.
T01575	0	*	도둑이 경찰에게 잡아가졌다.
T01576	0	*	선생님이 순이를 만나는 중이시다.
T01577	1		장관은 국제 경제가 안정되었음을 보고했다.
T01577	0	*	장관은 국제 경제가 안정되었기를 보고했다.
T01578	1		진실된 말과 같은 말을 해라.
T01578	0	*	진실된 말이 같은 말을 해라.
T01579	1		금순이가 동수는 자기가 잘났다고 선전하고 다닌다고 믿고 있다.
T01579	0	*	금순이가 자기가 동수는 잘났다고 선전하고 다닌다고 믿고 있다.
T01580	1		철수가 숙제를 안 했다.
T01580	0	*	철수가 숙제를 않았다.
T01581	1		철수는 대학에 못 간다.
T01581	0	*	철수는 못 대학에 간다.
T01582	1		영호가 도서관에 가서 참고 문헌을 찾았다.
T01582	0	*	영호가 도서관에 가서, 창수가 참고문헌을 찾았다.
T01587	1		영희가 영국에 갔다면 순희는 어디에 갔느냐?
T01587	0	*	영희가 영국에 갔고 순희는 어디에 갔느냐?
T01588	1		영희가 책을 책상 위에 놓다.
T01589	1		나는 그가 도둑이라고 생각해 왔다.
T01589	0	*	나는 그가 도둑이라고 생각해 갔다.
T01590	1		철수가 책상을 다리를 고친다.
T01590	0	*	철수가 책상을 다리 고친다.
T01591	1		시골이 좋다면 가겠습니다.
T01591	0	*	시골이 좋다면, 갔습니다.
T01592	1		철수가 그 책을 읽기는 읽었다.
T01593	1		영희는 피아노를 치면서 노래를 부른다.
T01594	1		철수가 밥을 먹기는 먹었다.
T01594	0	*	철수가 밥을 먹지는 먹었다
T01595	1		참 알다가도 모를 일이군요.
T01595	0	*	참 알다가도 모를 일이구나요.
T01596	1		인아에게는 세상 사람들이 다 미웠다.
T01596	0	*	인아는 세상 사람들로 다 미워졌다.
T01597	1		너와 같이 똑똑한 아이는 처음 봤다.
T01597	0	*	너가 같이 똑똑한 아이는 처음 봤다.
T01598	1		노새와 나귀가 서로를 닮았다.
T01598	0	*	노새가 나귀와 서로를 닮았다.
T01599	1		그 아이가 어른들에게 칭찬받았다.
T01599	0	?	그 아이가 어른들에게 칭찬되었다.
T01600	1		그것은 다른 사람이 아니라 철수가 했다.
T01600	0	*	그것은 다른 사람이 아니라 철수가 했단 주장이야.
T01601	1		철호는 훌륭한 부자답다.
T01603	1		내가 숙제를 하더라도 어머님은 칭찬해 주시지 않을거야.
T01603	0	*	내가 숙제를 하더라도 어머님은 칭찬해 주시지 않았어.
T01604	1		철수는 영희에게 책을 읽어 주었고, 영수도 그래 주었다.
T01604	0	*	철수는 영희에게 책을 읽어 주었고, 영수도 영희에게 책을 읽어 그랬다.
T01605	1		물리학자가 물을 얼음이 된다고 하였다.
T01605	0	*	물리학자가 물을 얼음을 된다고 하였다.
T01606	1		날이 새자 새들은 다시 흩어진다.
T01606	0	*	날이 새자 새들은 다시 흩어지겠다.
T01607	1		스님은 동쪽으로 길을 떠났다.
T01607	0	*	스님은 동쪽 길을 떠났다.
T01608	1		밥을 먹지 말아라
T01608	0	*	밥을 먹기 말아라
T01609	1		순이는 아주 빠르다.
T01609	0	*	순이는 아주 밥을 먹었다.
T01610	1		영이는 철수에게 운동 좀 하라고 설득했다.
T01610	0	*	영이는 철수에게 운동 좀 함을 설득했다.
T01611	1		9시 뉴스를 말씀드리겠습니다.
T01611	0	*	9시 뉴스를 말하겠어.
T01612	1		나는 철수에게 책을 읽어 주었다.
T01612	0	*	나는 책을 읽어 철수에게 주었다.
T01615	1		함박눈이 내리거나 싸락눈이 내린다.
T01615	0	*	함박눈은 내리거나 싸락눈은 내린다.
T01616	1		나는 알겠다 싶었는데 아직 모르겠어요.
T01616	0	*	나는 알 것이다 싶었는데 아직 모를 것이어요.
T01618	1		영희가 어렵게 영어를 공부를 하였다.
T01618	0	*	영희가 영어의 어려운 공부를 하였다.
T01619	1		소비자가 정부의 정책을 잘못으로 판단하다.
T01619	0	*	소비자가 정부의 정책을 잘못으로 비난하다.
T01620	1		사람들은 철수가 자살한 것으로 믿었다.
T01620	0	*	사람들은 철수가 자살한 것 믿었다.
T01621	1		아이들이 세 명 교실에 남아 독서를 하고 있다.
T01621	0	*	아이들이 교실에 남아 세 명 독서를 하고 있다.
T01622	1		막내가 숙제를 끝내 간다.
T01622	0	*	막내가 가는 것은 숙제를 끝내이다.
T01623	1		얼마나 좋던감?
T01623	0	*	얼마나 좋는감?
T01625	1		철수가 얼굴이 팔렸다.
T01626	1		철수는 그림을 그리지 못하면서 미술대학에 다닌다.
T01628	0	?	아침에 비가 안 오기에 우산을 가져 가지 말자.
T01629	1		봉이 김선달이가 환생을 해도 아마 나를 속여 먹지는 못할 걸세.
T01629	0	*	봉이 김선달이가 환생을 해도 나를 먹지는 못할걸세.
T01630	1		아이들에게 선생님을 억지로 존경하게 할 수 있겠어?
T01630	0	??	아이들에게 선생님을 억지로 존경시킬 수 있겠어?
T01631	1		아들은 손가방을 움켜쥐었고, 딸은 보따리를 틀어쥐었다.
T01631	0	*	아들은 손가방을 움켜, 딸은 보따리를 틀어쥐었다.
T01632	1		그 사람 아주 나쁜 놈이야.
T01632	0	*	그 사람 제법 나쁜 놈이야.
T01633	1		철수는 영희가 돌아오리라고 믿는다.
T01634	1		미나가 인호에게 철호의 머리를 깎아 주게 했다.
T01635	1		6·25 당시 많은 요인들이 납북되었다.
T01635	0	*	6·25 당시 많은 요인들이 납북했다.
T01636	0	*	선생님이 물건을 가지셔갔다.
T01637	1		이 어미는 차라리 그때를 그리워하고 싶구먼.
T01637	0	*	이 어미는 차라리 그때를 그리워하고 싶군.
T01638	0	*	비겁하게 그는 군다.
T01639	1		나는 오래 오래 살고 싶다.
T01639	0	*	나는 오래 오래 살고 생각된다.
T01640	1		아버지는 사진을 보여 주며 할아버지의 얼굴을 생각하게 하셨다.
T01640	0	*	아버지는 사진을 보여 주며 할아버지의 얼굴을 생각시키셨다.
T01641	1		나는 동생이 기침을 많이 하기에 걱정했다.
T01641	0	*	나는 동생이 기침을 많이 함에 걱정했다.
T01642	1		미나가 영희의 머리를 빗기고 있다.
T01642	0	*	미나가 영희의 머리를 빗게 했다.
T01643	1		사회변동과 가치관의 변혁이 오히려 예술 창작의 충동을 더욱 고무시킨다.
T01644	1		그는 목에 목걸이를 먹고 걸었다.
T01644	0	*	그는 목에 목걸이를 먹어 걸었다.
