ID	sentence	question	1	2	Answer
447	몸이 땀에 젖어 찐득거린다.	결과	운동을 했다.	샤워를 했다.	2
448	친구가 교통사고를 당했다.	결과	친구가 병원에 갔다.	친구가 운전을 좋아한다.	1
449	학생이 영어를 잘 하고 싶다.	결과	학생이 일본어 단어를 외운다.	학생이 영어 단어를 외운다.	2
450	남자의 눈이 침침했다.	원인	고글을 썼다.	눈의 노화가 진행되었다.	2
451	시력이 나빠졌다.	결과	안경을 쓰기 시작했다.	눈이 좋아졌다.	1
452	아이가 웃었다.	원인	아이에게서 사탕을 뺏었다.	아이가 좋아하는 사탕을 주었다.	2
453	예서가 성적표를 찢었다.	원인	예서는 아르바이트를 한다.	예서는 이번 시험을 망쳤다.	2
454	사람들이 패딩을 입는다.	원인	기온이 떨어졌다.	기온이 상승했다.	1
455	음악이 마음에 들었다.	결과	채널을 바꿨다.	음반을 샀다.	2
456	친구가 약속을 지키지 않았다.	결과	친구의 코가 길어진다.	친구와 말다툼을 한다.	2
457	따뜻한 커피가 만들어졌다.	원인	뜨거운 물을 커피 믹스에 부었다.	차가운 물을 커피 믹스에 부었다.	1
458	저혈압 약을 처방받았다.	원인	검사 결과 혈압이 높았다.	검사 결과 혈압이 낮았다.	2
459	떡이 딱딱하다.	원인	말랑한 떡을 잘랐다.	말랑한 떡을 냉동실에 오랜시간 넣어두었다.	2
460	더운 여름날, 비가 많이 내렸다.	결과	기온이 올라갔다.	기온이 내려갔다.	2
461	피부 각질이 제거 되었다.	원인	피부에 에센스를 발랐다.	피부에 각질 스크럽을 발랐다.	2
462	여자가 타지에 취직을 했다.	결과	여자가 타지에 방을 구했다.	여자가 집을 팔았다.	1
463	선생님이 학생들에게 많은 양의 숙제를 냈다.	결과	학생들이 반성했다.	학생들이 반발했다.	2
464	중고서점에 책을 팔았다.	원인	책을 사고 싶다.	읽지 않는 책이 많다.	2
465	차가 과속방지턱을 지나갔다.	결과	차가 덜컹거렸다.	차가 멈췄다.	1
466	그가 만 65세가 되었다.	결과	그가 은거했다.	그가 은퇴했다.	2
467	목도리를 둘렀다.	원인	너무 춥다.	귀마개를 했다.	1
468	바지 밑단을 잘라냈다.	원인	바지가 너무 길다.	바지가 너무 짧다.	1
469	칠판을 물로 닦았다.	결과	칠판에 분필 가루가 가득하다.	칠판이 반짝반짝 빛난다.	2
470	보고 있는 영화가 지루하다.	결과	나는 코를 골았다.	나는 하품을 했다.	2
471	남성은 식사 후 입이 찝찝하다.	결과	남성은 디저트를 먹는다.	남성은 양치를 한다.	2
472	그가 계약서 서명란에 도장을 찍었다.	원인	남자는 집을 계약했다.	남자는 집을 구경했다.	1
473	가방의 지퍼를 채웠다.	결과	가방 안의 물건이 보이지 않는다.	가방 안의 물건이 보인다.	1
474	눈이 충혈되었다.	원인	눈병에 걸렸다.	잠을 잘 잤다.	1
475	열린 창문으로 바람이 불었다.	결과	커튼이 묶여있었다.	커튼이 흔들렸다.	2
476	팔이 부러졌다.	결과	산부인과에 방문한다.	정형외과에 방문한다.	2
477	판사가 법봉을 두드렸다.	원인	판사는 사임한다.	판사가 판결을 내렸다.	2
478	상처부위를 소독하지 않았다.	결과	상처가 잘 아물었다.	상처가 곪았다.	2
479	토마토의 색이 초록색이다.	원인	토마토가 다 익었다.	토마토가 다 익지 않았다.	2
480	동네 회의가 소집되었다.	결과	동네 소장들이 다 모였다.	동네 소장들이 집에 돌아갔다.	1
481	자켓 지퍼를 올렸다.	결과	바람이 덜 들어와서 덜 춥다.	바람이 많이 들어와서 춥다.	2
482	이가 썩었다.	원인	물을 많이 마셨다.	달고나를 많이 먹었다.	2
483	많은 책이 책장에서 떨어진다.	원인	지진이 발생했다.	산불이 났다.	1
484	비가 내리기 시작했다.	결과	운전자가 시동을 켰다.	운전자가 와이퍼를 작동시켰다.	2
485	여자의 목이 쉬었다.	결과	여자의 목소리가 갈라졌다.	여자가 사투리를 쓰기 시작했다.	1
486	남자가 수화로 여자에게 인사했다.	원인	여자는 청각 장애인이다.	여자는 시각 장애인이다.	1
487	사진을 인화했다.	원인	카메라로 사진을 찍었다.	사진을 나눠주었다.	1
488	식물이 죽었다.	원인	식물에 비료를 주었다.	한동안 비가 안 왔다.	2
489	차가 횡단보도에 멈춰섰다.	결과	보행자가 길을 건넜다.	보행자가 보도에 멈춰섰다.	1
490	비닐봉투를 쥐고 흔든다.	결과	바스락거리는 소리가 난다.	아무 소리도 나지 않는다.	1
491	부싯돌을 켰다.	결과	불이 꺼졌다.	불이 붙었다.	2
492	아이는 개를 무서워했다.	원인	아이는 개에 물린 적이 있다.	아이는 개와 산책한 적이 있다.	1
493	여자가 핀셋으로 가시를 잡아 당겼다.	원인	여자의 손에 가시가 박혔다.	여자가 가시를 관찰했다.	1
494	제약회사가 약을 회수했다.	원인	약을 복용한 사람에게서 치명적인 부작용이 나타났다.	약을 복용한 사람에게서 긍정적인 효과가 나타났다.	1
495	스탠드 조명을 켰다.	원인	전등이 어둡다.	전등이 밝다.	1
496	와사비가 많이 들어간 초밥을 먹었다.	결과	느끼하다.	코가 맵다	2
497	수도의 물을 틀었다.	결과	수도꼭지에서 물이 나온다.	홍수가 났다.	1
498	기차 표를 예매했다.	결과	비행기에 탑승한다.	기차에 탑승한다.	2
499	시계탑에서 종소리가 열두 번 울렸다.	원인	열두 시가 되었다.	시계탑에 사람이 없다.	2
500	자명종의 버튼을 눌러 껐다.	원인	자명종이 알람을 울렸다.	자명종이 제때 울리지 않았다.	1
501	학생들이 체육복으로 갈아입었다.	원인	다음 시간은 체육 수업이다.	다음 시간은 수학 수업이다.	1
502	매일 자전거를 탔다.	결과	다리가 튼튼해졌다.	다리가 무너졌다. 	1
503	탄산음료의 병 뚜껑을 열었다.	결과	탄산음료에 거품이 생겼다.	탄산음료를 흘렸다.	1
504	고모에게 답장을 썼다.	원인	고모에게 편지를 받았다.	이모부에게 용돈을 받았다.	1
505	고무장갑 없이 설거지를 오래 했다.	결과	손에 습진이 생겼다.	손가락이 곧아졌다.	1
506	목욕을 마친 강아지가 몸을 털었다.	결과	강아지의 털이 더럽다.	주변으로 물방울이 튀었다.	2
507	장갑을 꼈다	원인	손이 모자랐다	손이 시렸다	2
508	강아지가 여자의 손을 핥았다.	원인	여자의 손에 간식 부스러기가 남아 있었다.	여자의 손에 쓴 약이 있었다.	1
509	스케이트를 오랜 시간 탔다.	결과	발이 녹았다.	발이 얼었다.	2
510	여자가 나뭇가지를 모닥불에 넣었다.	결과	모닥불이 활활 타올랐다.	모닥불이 꺼졌다.	1
511	나는 주말을 기다리고 있다.	원인	주말에 삼촌의 장례식이 있다.	주말에 친구 결혼식에 가 축가를 부른다.	2
512	여성이 신경 안정제를 맞았다.	원인	여성이 불안 증세를 보였다.	여성이 배가 아팠다.	1
513	아이가 더러운 물을 마셨다.	결과	아이가 건강해졌다.	아이가 배탈이 났다.	2
514	스케이트를 반납했다.	원인	스케이트를 대여했다.	스케이트를 잃어버렸다.	1
515	남자의 안경에 금이 갔다.	결과	남자는 안경점에 갔다.	남자는 안과에 갔다.	1
516	머리카락이 휘날린다.	원인	선풍기 바람을 맞았다.	머리카락을 묶었다.	1
517	그 소년은 머리를 모두 밀었다.	원인	그는 파마를 하려고 한다.	그는 곧 입대한다.	2
518	남자가 박하를 먹었다.	원인	남자는 구취가 걱정되었다.	남자의 입술이 갈라졌다.	1
519	음식에 설탕을 넣었다.	결과	음식이 더 시원해졌다.	음식이 더 달아졌다.	1
520	소년의 눈에 멍이 들었다.	원인	소년이 친구와 떡볶이를 먹었다.	소년이 친구와 싸웠다.	2
521	여자는 빵을 먹지 못했다.	원인	여자는 밀가루를 먹을 수 없다.	여자는 밀가루 음식을 좋아한다.	1
522	길가에 차를 세웠다.	원인	주차장이 열려있다.	주차장이 꽉 찼다.	2
523	뒤로 가기를 눌렀다.	결과	화면이 캡쳐되었다.	이전 화면이 보인다.	2
524	열대야가 시작되었다.	결과	더위로 밤에 잠을 자지 못했다.	추위로 밤에 잠을 자지 못했다.	1
525	건물의 바닥이 미끄럽다.	원인	바닥에 껌이 붙었다.	바닥 물청소를 했다.	2
526	샴푸로 머리를 감았다.	결과	머리 기름이 제거되었다.	머리 기름이 더 늘어났다.	1
527	여자가 수녀가 되기로 결심했다.	결과	여자가 머리를 모두 밀었다.	여자가 수도회에 입회했다.	2
528	살이 쪘다.	결과	옷이 커졌다.	옷이 작아졌다.	2
529	여자는 건강검진을 받았다.	원인	여자의 건강이 악화되었다.	여자의 건강이 좋아졌다.	1
530	아이가 옷장에 크레파스로 낙서했다.	결과	옷장이 깨끗해졌다.	옷장이 지저분해졌다.	2
531	나는 지쳤다.	원인	하루종일 잠을 잤다.	하루종일 공부를 했다.	2
532	에어컨을 틀었다.	원인	방이 너무 덥다.	겨울이 되었다.	1
533	자동차의 범퍼가 부서졌다.	원인	교통사고가 났다.	정비소로 갔다.	1
534	세워 놓은 도미노를 쳤다.	결과	도미노로 탑을 세웠다.	도미노가 무너졌다.	2
535	비행기를 놓쳤다.	원인	기내식을 너무 많이 먹었다.	출발 시간 전에 도착하지 못했다.	2
536	컵을 떨어트려도 깨지지 않는다.	원인	컵은 쇠로 만들어졌다.	컵은 유리로 만들어졌다.	1
537	머리가 축축하다.	결과	드라이기를 사용한다.	머리를 감았다.	1
538	국수의 면이 불었다.	원인	국수를 오랫동안 끓였다.	국수를 짧게 끓였다.	1
539	아들이 거짓말을 해서 아빠가 혼냈다.	결과	아빠가 아들에게 선물을 주었다.	아들이 사실을 고백했다.	2
540	친구와 도시락을 나눠먹었다.	원인	친구가 도시락 가방을 새로 샀다.	친구가 도시락을 가져오지 않았다.	2
541	전등의 플러그를 뺐다.	결과	전등의 불이 꺼졌다.	전등의 불이 켜졌다.	1
542	조명에 불이 켜지지 않는다.	결과	전구를 새 것으로 교체했다.	전원이 연결되지 않았다.	1
543	세탁기의 빨래가 끝났다.	결과	건조대에서 빨래를 걷었다.	건조대에 빨래를 널었다.	2
544	그녀는 집에서 나가기 전 롱패딩 지퍼를 잠갔다.	원인	밖이 영상의 기온이다.	밖이 영하의 기온이다.	2
545	귀에서 피가 난다.	원인	귀에 염증이 생겼다.	눈에 염증이 생겼다.	1
546	팔이 부러졌다.	결과	병원에 갔다.	계단에서 넘어졌다.	1
547	날씨가 덥다.	결과	온풍기를 틀었다.	에어컨을 틀었다.	2
548	유명인이 되었다.	결과	tv를 본다.	사람들이 많이 알아본다.	2
549	소녀는 귀걸이가 하고 싶다.	결과	소녀는 귀를 뚫었다.	소녀는 귀마개를 했다.	1
550	수정테이프로 글자를 지웠다.	원인	글자를 잘 썼다.	글자를 잘못 썼다.	2
551	아기의 기저귀가 축축하다.	결과	아기가 울음을 터뜨린다.	아기가 대변을 보았다.	1
552	꽃이 싱싱해졌다.	원인	꽃의 줄기를 잘랐다.	꽃에 물을 주었다.	2
553	남자의 얼굴에는 주름이 늘었다.	원인	남자는 나이를 먹었다.	남자는 어려졌다.	1
554	남성은 저녁으로 배달음식을 주문했다.	원인	남자는 저녁을 먹었다.	남자는 저녁을 아직 먹지 않았다.	2
555	나는 짐을 정리했다.	원인	나는 이사를 가게 되었다.	나는 집 계약을 연장했다.	1
556	스마트폰에 이어폰을 연결했다.	결과	이어폰에서 음악이 흘러나왔다.	이어폰이 끊어졌다.	1
557	메주와 소금물을 섞어 발효시킨다.	결과	간장과 된장이 만들어진다.	고추장과 쌈장이 만들어진다.	1
558	청바지가 너무 작아졌다.	원인	살이 많이 빠졌다	살이 많이 쪘다.	2
559	촛불에 불을 붙였다.	결과	촛농이 흘러내렸다.	촛농이 굳었다.	1
560	남자의 손이 떨린다.	원인	남자는 긴장했다. 	남자는 평온하다.	1
561	파를 다듬었다.	결과	눈이 잘 보인다.	눈이 맵다.	2
562	맥아를 발효시켰다.	결과	요구르트가 완성되었다.	맥주가 완성되었다.	2
563	닭이 계란을 품었다.	결과	병아리가 태어났다.	병아리가 중닭이 되었다.	1
564	도서관 책 반납이 연체되었다.	결과	도서관 우수 회원이 되었다.	책 반납 독촉장을 받았다.	2
565	남자가 과자를 먹다가 집게로 봉지를 묶었다.	원인	남자가 과자를 남겼다.	남자가 과자를 다 먹었다.	1
566	책이 베스트셀러가 되었다.	결과	책이 영화로 각색되었다.	책의 작가가 죽었다.	1
567	낙엽이 떨어진다.	원인	기온이 높아졌다.	기온이 낮아졌다.	2
568	새로 산 신발의 크기가 작다.	결과	발 뒷꿈치에 상처가 났다.	신발이 헐거웠다.	1
569	영화가 매우 재미있었다.	결과	영화 평점을 낮게 주었다.	영화 평점을 높게 주었다.	2
570	운동화를 신고 모래사장을 걸었다.	결과	운동화 안에 진흙이 들어갔다.	운동화 안에 모래가 들어갔다.	2
571	축구 시합이 끝났다.	결과	축구팀이 준비운동을 한다.	축구팀이 경기장에서 나온다.	2
572	호수에 돌을 던졌다.	결과	호수 표면이 일렁였다.	호수 표면이 잔잔했다.	1
573	집이 압류되었다.	원인	빚을 다 갚았다.	빚을 갚지 못했다.	2
574	옆 건물이 오늘 재건축 공사를 시작했다.	결과	옆 건물에 소방차가 왔다.	공사 소음이 크게 난다.	2
575	남자는 중앙선을 넘어 차를 운전했다.	결과	남자는 경찰에게 체포되었다.	남자는 경찰이 되었다.	1
576	파기름이 완성되었다.	원인	파와 기름을 볶았다.	고추와 기름을 볶았다.	1
577	어떤 종이 멸종위기에 처했다.	원인	그 종의 서식지가 파괴되었다.	그 종의 천적이 줄어들었다.	1
578	증인들의 증언이 일치하지 않는다.	결과	누군가 거짓을 말하고 있다.	모두가 결백하다.	1
579	입술이 빨갛게 되었다.	원인	핸드크림을 발랐다.	립스틱을 발랐다.	2
580	다람쥐가 정원 테이블에 앉아 있다.	원인	정원 테이블은 삼촌이 만들어주신 것이다.	정원 테이블에 도토리와 땅콩을 두었다.	2
581	서커스 단원이 외발자전거를 탔다.	결과	관객들이 환호했다.	서커스가 막을 내렸다.	1
582	슬픈 영화를 보았다.	결과	슬퍼서 눈물을 흘렸다. 	기뻐서 웃었다.	1
583	청소기의 전원버튼을 켜고, 먼지 앞에 두었다.	결과	먼지가 쌓인다.	먼지가 청소기 안으로 빨려 들어갔다.	2
584	나무토막 위에 톱을 놓고 톱질을 했다.	결과	나무토막이 매끈매끈 해졌다.	나무토막이 잘라졌다.	2
585	영화 크레디트가 올라간다.	원인	영화가 곧 시작한다.	영화가 모두 끝났다.	2
586	볼링 핀을 하나도 쓰러뜨리지 못했다.	원인	공이 옆으로 빠졌다.	공이 정확히 가운데 핀을 향해 갔다.	1
587	의사들은 초록색 수술복을 입는다.	원인	피의 색인 빨간색의 보색이 초록색이다.	의사들은 초록색을 좋아한다.	1
588	동이 트고 있다.	결과	세상이 환해진다.	세상이 어두워진다.	1
589	새가 날개를 퍼덕였다.	결과	새가 위로 날아 올랐다.	새가 알을 낳았다.	1
590	항공사에서 수하물을 분실했다.	결과	항공사에서 보상을 제안했다.	항공사에서 항공편을 결항시켰다.	1
591	코감기에 걸렸다.	결과	코가 부러져서 수술을 받는다.	콧물이 계속 나와서 코를 푼다.	2
592	헬멧을 썼다.	원인	오토바이를 탔다.	산책을 했다.	1
593	그는 손을 닦았다. 	원인	손에 물감이 묻었다.	발에 물감이 묻었다.	1
594	풀밭 위에 내 그림자가 생겼다.	원인	해가 나를 비추고 있다.	풀들이 잘렸다.	1
595	지원자가 면접에서 떨어졌다.	원인	지원자가 면접에서 말을 유창하게 했다.	지원자가 면접에서 말실수를 했다.	2
596	휴대폰을 버스에 두고 내렸다.	결과	휴대폰 케이스를 구입했다.	휴대폰 분실신고를 했다.	2
597	베이비시터를 고용했다.	결과	베이비시터에게 아이를 맡기고 집에서 나왔다.	베이비시터를 고용하기 위한 전단지를 길에 붙였다.	1
598	여자가 지쳤다.	원인	여자가 하루종일 잠을 잤다.	여자가 밤을 새면서 공부를 했다.	2
599	산악회에 가입했다.	결과	매주 암벽등반을 한다.	매주 등산을 한다.	2
600	코끼리를 오랫동안 밀렵했다.	결과	코끼리가 멸종 위기에 이르렀다.	코끼리 서식지가 늘어났다.	1
601	여자의 목소리가 잘 들리지 않는다.	원인	여자는 멀리 떨어져 앉아있다.	여자는 가까이에 앉아있다.	1
602	그 노인은 확성기에 대고 외쳤다.	원인	그 노인은 큰 소리로 말하고 싶다.	그 노인은 자기 말을 아무도 듣지 못하기를 원한다.	1
603	나무가 반으로 쪼개졌다.	원인	벽난로에 장작을 넣었다.	나무에 도끼를 휘둘렀다.	2
604	도둑이 벽을 타고 넘어왔다.	원인	대문이 잠겨있었다.	대문이 열려있었다.	1
605	귀에 물이 들어갔다.	결과	귀가 먹먹하다.	귀가 따갑다.	1
606	작년에 입던 바지가 맞지 않는다.	원인	작년보다 키가 10cm 컸다.	작년과 키가 똑같다.	1
607	좋아하는 사람이 생겼다.	결과	좋아하는 사람에게 고백을 했다.	좋아하는 사람을 무시했다.	1
608	가수는 신곡을 발표했다.	결과	드라마가 1위했다.	음악차트 1위를 했다.	2
609	화장실에 물이 가득찼다.	원인	변기물이 넘쳤다.	보일러가 고장났다.	1
610	남자의 통장잔고가 많이 줄어 들었다.	원인	남자가 돈을 아껴 썼다.	남자가 돈을 펑펑 썼다.	2
611	여자는 승진했다.	원인	여자가 선보인 프로젝트가 나쁜 성적을 기록했다.	여자가 선보인 프로젝트가 좋은 성적을 거두었다.	2
612	입술이 건조했다.	결과	립밤을 발랐다.	입술을 뜯었다.	1
613	책에 손 때가 묻었다.	원인	책을 많이 읽었다.	책을 읽지 않았다.	1
614	기침을 한다. 	원인	물을 마시다가 사레가 들렸다.	샤워를 했다.	1
615	동파사고로 인해 세탁기를 사용할 수 없다.	원인	기온이 매우 낮다.	기온이 매우 높다.	1
616	생양배추를 뜯어 뜨거운 물에서 데쳤다.	결과	양배추가 싱싱해진다.	양배추가 흐물흐물해진다.	2
617	근로계약서에 사인을 했다.	결과	근로 계약이 체결되었다.	증여 계약이 체결되었다.	1
618	여성의 휴대폰에 알림이 울렸다.	원인	여성은 휴대폰에 이어폰을 연결했다.	누군가 여성에게 메세지를 보냈다.	2
619	컵이 산산히 깨졌다.	원인	컵을 바위에 던졌다.	컵을 강물에 던졌다.	1
620	살충제를 뿌렸다.	결과	파리가 들어왔다.	파리가 죽었다.	2
621	방 안에 햇빛이 비췄다.	결과	커튼을 걷었다.	커튼을 쳤다.	2
622	남자가 빈혈이 있다.	결과	남자가 물구나무서기를 했다.	남자가 어지러움을 느꼈다.	2
623	책을 드라이기로 말렸다.	원인	책에다가 물을 쏟았다. 	책을 새로 샀다.	1
624	여자는 우유를 먹지 못한다.	원인	여자는 유제품 알레르기가 있다.	여자는 목장에서 일한다.	1
625	빵에 곰팡이가 피었다.	결과	빵을 상온에 두었다.	빵을 버렸다.	2
626	모르는 여자가 나를 빤히 쳐다봤다.	결과	그녀에게 포옹했다.	불편함을 느꼈다.	2
627	어떤 남자가 급히 달려간다.	원인	그 남자는 지각했다.	그 남자는 배가 부르다.	1
628	티셔츠가 축축하게 젖었다.	원인	축구를 하며 땀을 흘렸다.	티셔츠를 건조기에 돌렸다.	1
629	남자가 코를 후볐다.	결과	귓밥이 나왔다.	코딱지가 나왔다.	2
630	소녀는 오늘 태극기를 게양했다.	원인	오늘은 추수감사절이다.	오늘은 삼일절이다.	2
631	여자가 맥주를 거절했다.	원인	여자는 맥주를 좋아한다.	여자는 술을 마실 수 없다.	2
632	총을 쏘았다.	원인	총을 장전했다.	총을 버렸다.	1
633	민수가 통신 요금을 많이 납부했다.	원인	민수가 통신 서비스를 비싼 서비스로 바꾸었다.	민수가 통신 서비스를 값싼 서비스로 바꾸었다.	1
634	그녀는 귀마개를 꼈다.	원인	그녀는 귀를 뚫었다.	그녀는 주변이 시끄러웠다.	2
635	여자가 소개팅에서 만난 남자에게 데이트 신청을 했다.	원인	여자는 남자가 마음에 들지 않았다.	여자는 남자가 마음에 들었다.	2
636	와이파이 전원을 껐다.	결과	인터넷 연결이 끊겼다.	인터넷에 연결이 되었다.	1
637	카페트 위에 물 한 방울이 떨어졌다.	결과	카페트가 흥건히 젖었다.	카페트가 물을 흡수했다.	2
638	월급을 받았다.	원인	한 달 동안 열심히 일했다.	퇴직했다.	1
639	항구에서 배가 출항했다.	결과	배에서 경적 소리가 울렸다.	배에서 사람들이 내렸다.	1
640	화장을 지우지 않고 잤다.	결과	피부에 여드름이 났다.	피부에 여드름이 가려졌다.	1
641	친구가 유연하다.	결과	친구의 유연성 검사 결과가 안 좋았다.	친구의 유연성 검사 결과가 우수했다.	2
642	밖에서 시끄러운 소리가 난다.	결과	귀마개를 착용한다.	마스크를 착용한다.	1
643	밥을 급하게 먹었다.	결과	소화가 잘 되지 않는다.	회사에 늦었다.	1
644	언니의 옷을 몰래 입었다. 	결과	언니가 나에게 화를 냈다. 	언니가 수학여행을 갔다. 	1
645	남자는 심리상담가가 되고 싶다.	결과	남자는 컴퓨터공학과에 입학했다.	남자는 심리학과에 입학했다.	2
646	노트북이 방전되어 전원이 꺼졌다.	원인	노트북을 오래동안 충전하지 않았다.	노트북 쿨러를 작동시켰다.	1
647	선풍기 팬이 작동했다.	원인	선풍기 전원을 켰다.	선풍기 전원을 껐다.	1
648	여자가 의료용 안대를 착용했다.	원인	여자는 눈병에 걸렸다.	여자는 눈물이 났다.	1
649	바람이 분다.	결과	새싹이 움튼다.	갈대가 흔들린다.	2
650	여자가 눈이 잘 보이지 않는다.	결과	안경을 맞췄다.	안경이 부러졌다.	1
651	검은색 물감이 없다.	결과	검은색 물감은 저렴하다. 	검은색으로 칠하지 못했다.	2
652	남자가 활동가들의 청원에 서명을 했다.	원인	남자는 그들이 미쳤다고 생각한다.	남자는 그들의 대의를 지지한다.	2
653	여자가 히잡을 착용했다.	원인	여자는 이슬람교도이다.	여자는 천주교 신자다.	1
654	남성이 안약을 넣는다.	원인	남성은 안과질환이 있다.	남성은 심혈관질환이 있다.	1
655	쿠키 반죽에 초콜릿 파우더를 섞었다.	결과	반죽의 색이 연해졌다.	반죽의 색이 짙어졌다.	2
656	남자는 낚시를 했다.	결과	남자는 물고기를 잡았다.	남자는 도축을 했다.	1
657	카펫이 보라색으로 물들었다.	원인	카펫에 물을 흘렸다.	카펫에 포도주를 흘렸다.	2
658	숙제를 하나도 하지 못했다.	원인	저녁을 맛있게 먹었다.	게임에 중독되었다.	2
659	초에 불을 붙였다.	결과	촛농이 굳었다.	촛농이 녹아 흘러내렸다.	2
660	운전자가 클락션을 울린다.	원인	보행자가 신호를 지키지 않았다.	운전자는 세차를 한다.	1
661	거대 해일이 밀려온다.	결과	가뭄이 든다.	사람들이 산 꼭대기로 대피했다.	2
662	머리가 꼬불꼬불해졌다.	원인	파마를 했다.	머리를 잘랐다.	1
663	책에 물을 쏟았다.	결과	종이가 하얗게 변했다.	종이가 운다.	2
664	남자의 다리 털이 자랐다.	결과	남자가 다리 털을 밀었다.	남자가 머리카락을 밀었다.	1
665	국제선 비행기를 탔다.	원인	국내 출장을 갔다.	해외 출장을 갔다.	2
666	생선에 소금을 뿌렸다.	결과	생선이 싱거워졌다.	생선이 짜졌다.	2
667	커플이 약혼했다.	결과	커플은 헤어졌다.	커플은 결혼 할 계획이다.	2
668	열대야가 시작되었다.	결과	더워서 잠을 잘 수 없었다.	추워서 잠을 잘 수 없었다.	1
669	DJ가 음악을 틀었다.	결과	사람들이 파티를 떠났다. 	사람들이 춤을 추기 시작했다.	2
670	그 남자는 이웃들을 싫어한다.	원인	이웃들이 이사를 온 지 오래되었다.	이웃들이 무례하고 시끄럽다.	2
671	작년에 비해 살이 많이 빠졌다.	결과	입던 옷이 작아졌다.	입던 옷이 커졌다.	2
672	비둘기가 화살을 맞고 하늘에서 떨어졌다.	원인	비둘기는 전서구 훈련 중이다.	궁수가 비둘기에게 활을 쏘았다.	2
673	문을 잠그고 나왔는데, 열쇠를 잃어버렸다.	결과	문을 닫았다.	열쇠를 새로 복사했다.	2
674	여자가 바퀴벌레 퇴치제를 샀다.	원인	집에 바퀴벌레가 나왔다.	집에 쥐가 나왔다.	1
675	머리가 흘러내려서 거추장스럽다.	결과	머리를 머리끈으로 묶는다.	머리끈을 만들어서 팔았다.	1
676	얼음을 갈았다.	결과	얼음을 만들었다.	빙수를 만들었다.	2
677	새 신발이 더러워졌다.	원인	신발이 진흙에 빠졌다.	신발끈을 묶었다.	1
678	갑자기 비가 내렸다.	결과	사람들이 우산을 접었다.	사람들이 우산을 펼쳤다.	2
679	학생이 답안지에 답을 잘못 기입했다.	결과	학생은 답안지를 교체했다.	학생은 시험지를 교체했다.	1
680	저녁에 할머니의 생신 축하 파티를 하기로 했다.	결과	저녁상을 한가득 차렸다.	저녁을 먹지 않았다.	1
681	약속 장소에 30분 일찍 도착했다.	원인	고속도로가 막히지 않았다.	버스를 놓쳤다.	1
682	가스레인지에 불이 켜졌다.	원인	가스 밸브를 열고 점화를 했다.	가스 밸브를 잠그고 소화를 했다.	1
683	영화가 새드엔딩으로 마무리되었다.	결과	관객들이 박장대소했다.	관객들이 모두 오열했다.	2
684	아이스크림이 녹았다.	원인	냉동고가 고장났다.	냉장고를 새로 구매했다.	1
685	선크림을 바르지 않은 채로 야외활동을 오래 했다.	결과	피부가 하얗게 되었다.	피부에 가벼운 화상을 입었다.	2
686	직원은 남성에게 퇴장하라고 했다.	원인	남성은 사용수칙을 어겼다.	남성은 직원에게 고맙다고 했다.	1
687	가족이 새로운 이웃을 알고 싶어했다.	결과	가족이 여행을 갔다.	가족이 옆집 이웃을 저녁 식사에 초대했다.	2
688	보디빌더가 바벨을 들었다.	결과	체육관이 문을 닫았다.	보디빌더의 근육이 팽창했다.	2
689	습한 여름날, 과자를 오랜 시간 밖에다가 두었다.	결과	과자가 눅눅해졌다.	과자가 바삭바삭하다.	1
690	남성은 더위를 느꼈다.	결과	남성은 장갑을 착용했다.	남성은 반바지를 착용했다.	2
691	유리컵을 바닥에 떨어트렸다.	결과	유리컵이 깨졌다.	유리컵을 씻었다.	1
692	면도기로 다리 털을 밀었다.	결과	다리털이 깎였다.	다리 털이 길어졌다.	1
693	눈이 녹았다.	원인	눈사람을 만들었다.	날이 따뜻해졌다.	2
694	검은 옷과 하얀 옷을 같이 빨래했다.	결과	검은 옷이 하얗게 탈색되었다.	하얀 옷이 검게 물들었다.	2
695	콘서트에 갔다. 	결과	공부를 했다. 	좋아하는 가수를 봤다. 	2
696	배달 어플을 설치했다.	결과	배달원이 되었다.	배달 음식을 주문했다.	2
697	탈색을 너무 많이 했다.	결과	머릿결이 많이 상했다.	머리를 감지 않았다.	1
698	맞춤법이 헷갈린다	결과	인터넷에서 맞춤법을 찾아본다.	맞춤법을 학생들에게 가르친다.	1
699	남자는 햇빛 때문에 운전하기가 어렵다.	결과	남자는 선글라스를 착용했다.	남자는 넥타이를 착용했다.	1
700	노트북을 오랜 시간 사용했다.	결과	노트북이 방전되었다.	노트북에서 음악이 나왔다.	1
701	머리카락이 배수구에 꼈다.	결과	사용한 물이 잘 내려가지 않는다.	배수구에서 거품이 난다.	1
702	남자가 파산했다.	원인	저축을 열심히 했다.	투자를 잘못 했다.	2
703	비가 온다.	결과	강아지가 짖는다.	나뭇잎에 물이 맺힌다.	2
704	부동산에 방문했다.	원인	이사를 준비하고 있다.	대학 진학을 준비하고 있다.	1
705	밤에 정전이 되었다.	결과	아침이 되었다.	길거리가 다 깜깜해졌다.	2
706	편지 봉투를 밀봉했다.	원인	편지를 부치려고 한다.	편지를 읽으려고 한다.	1
707	안경을 새로 맞췄다.	원인	이사 준비를 했다.	시력이 나빠졌다.	2
708	테니스 동호회에 가입했다.	결과	매주 야구를 한다.	매주 테니스를 친다.	2
709	건물에 화재경보가 울렸다.	결과	건물에 불이 났다.	사람들이 건물 밖으로 대피했다.	2
